GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-623671941,SushiGo,3,GAME_OVER,82,0,3,191,Basic MCTS,42.0,38.0,54.0,randomPlayer,GroupAA MCTS Agent,2,Basic MCTS,2,3,3,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
187674316,SushiGo,3,GAME_OVER,87,0,3,192,GroupAA MCTS Agent,44.0,60.0,23.0,Basic MCTS,randomPlayer,2,GroupAA MCTS Agent,2,1,1,3,Basic MCTS,3,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
834216199,SushiGo,3,GAME_OVER,83,0,3,193,GroupAA MCTS Agent,29.0,65.0,34.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
1921493154,SushiGo,3,GAME_OVER,81,0,3,194,randomPlayer,35.0,30.0,54.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
174782146,SushiGo,3,GAME_OVER,82,0,3,195,GroupAA MCTS Agent,40.0,50.0,34.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-87646011,SushiGo,3,GAME_OVER,82,0,3,196,Basic MCTS,63.0,40.0,23.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,2,2,3,GroupAA MCTS Agent,3,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
1609617282,SushiGo,3,GAME_OVER,84,0,3,197,Basic MCTS,32.0,35.0,49.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
1760171303,SushiGo,3,GAME_OVER,82,0,3,198,randomPlayer,51.0,17.0,42.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
-141553145,SushiGo,3,GAME_OVER,85,0,3,199,randomPlayer,55.0,31.0,32.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
1449143091,SushiGo,3,GAME_OVER,82,0,3,200,GroupAA MCTS Agent,42.0,52.0,41.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
